category,text,link
"""SME. Бухгалтерское обслуживание. Сообщение клиенту через ПБ""","""через процедуру можно отправить чат клиенту""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Определить участие в акции для новорегов""","""можно выяснить участвует ли клиент в акции для недавно зарегистрированых (открывших ИП) клиентов, стоимость обслуживания, тариф""",http://www.example.com
"""Документы с печатью для Отчетность""","""можно получить первичные (закрывающие) документы за бухгалтерское обслуживание""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Онбординг. Сбор инфо перед знакомством""","""SME. Бухгалтерское обслуживание. Онбординг. Сбор инфо перед знакомством""",http://www.example.com
"""Проверка регистрации компании в этом году""","""проверить, что клиент открыл ИП  (зарегистрировался) в этом году""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Объединить диалоги""","""достает номер телефона и проводит саммаризацию диалогов""",http://www.example.com
"""Дата регистрации компании""","""Показывает дату регистрации компании """,http://www.example.com
"""Вкладка «Письма и сверки» в Бухгалтерии""","""описывает действия во вкладке Письма и сверки, налоговые требования, сверка с налоговой, арест""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация СНО""","""уточнение СНО у клиента""",http://www.example.com
"""Переключить на бухгалтера""","""проверка подключенного бухгалтерского обслуживание и логика переключения на бух""",http://www.example.com
"""БО. Повышение приоритета таски""","""нужно решить вопрос быстрее (срочно)""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка таска SME_ACCOUNTING_CHANGE_TAXATION_SYSTEM""","""SME. Бухгалтерское обслуживание. Обработка таска SME_ACCOUNTING_CHANGE_TAXATION_SYSTEM""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Запрос информации по таску""","""SME. Бухгалтерское обслуживание. Запрос информации по таску""",http://www.example.com
"""БО. Сбор инфо по таске""","""БО. Сбор инфо по таске""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Определить участие в тесте цен""","""можно выяснить участвует ли клиент в тестировании цен бухгалтерского обслуживания, стоимость обслуживания, тариф""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Достаем данные из    подэкстейшена Изменение патента""","""Подпроцедура по вытягиванию информации из экстеншена ""SME-ACCOUNTING-CHANGE-PATENT"" и сбору в общий список.""",http://www.example.com
"""Бухгалтерия фиксы android""","""Как оплатить фиксированные взносы в мобильном приложении на android""",http://www.example.com
"""Обработка на линии помощи""","""передать сложный вопрос на линию помощи""",http://www.example.com
"""Подключить / отключить бух. обслуживание""","""подключение и отключение бухгалтерского обслуживания""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Тащим информацию из словаря КНД""","""информация по видам налоговых документов""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация ОКТМО. Знакомство бухгалтера""","""Подпроцедура для актуализации ОКТМО в рамках работы ПБ при знакомстве - основной процесс Знакомство бухгалтера""",http://www.example.com
"""БО.Отложить таск""","""Подпроцедура позволяет откладывать таск""",http://www.example.com
"""Изменения в подписке для бухгалтера""","""бухгалтеру нужно изменить подписку клиента""",http://www.example.com
"""бухгалтерия меню IOS""","""помочь клиенту в мобильном приложении IOS""",http://www.example.com
"""Инструкция по мобильной бухгалтерии""","""помочь клиенту в мобильном приложении""",http://www.example.com
"""Сдать декларацию по УСН""","""инструкция как сдать декларацию по УСН""",http://www.example.com
"""Предлагаем консультацию бухгалтера""","""сложный вопрос клиента по бухгалтерии""",http://www.example.com
"""Вкладка «Реквизиты» в Бухгалтерии""","""помочь клиенту в веб версии со вкладкой Реквизиты (настройки) в Бухгалтерии. Смена системы налогообложения (СНО), налоговой ставки""",http://www.example.com
"""SME. Онлайн-Бухгалтерия. Распределение в нужную ветку по тегу""","""SME. Онлайн-Бухгалтерия. Распределение в нужную ветку по тегу""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Достаем данные из    подэкстейшен Отказ от патента""","""что нужно сделать для отказа от патента""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Просмотр заданий по бухгалтерии""","""SME. Бухгалтерское обслуживание. Просмотр заданий по бухгалтерии""",http://www.example.com
"""БО. Отмена таска""","""Проставляет заметку и нз на таск по БО""",http://www.example.com
"""SME.Онлайн-Бухгалтерия.Общая инфа об авансах""","""как платить авансовые платежи по упрощенной системе налогообложения (упрощенка, УСН)""",http://www.example.com
"""Ядро с проверками бухгалтерского обслуживания""","""Ядро с проверками бухгалтерского обслуживания""",http://www.example.com
"""Мои задачи в JIRA 2. Фронт-бухгалтерия""","""Мои задачи в JIRA 2. Фронт-бухгалтерия""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Получаем данные ИФНС по адресу""","""к какой ФНС относится клиент, учетная налоговая, моя налоговая""",http://www.example.com
"""Заведение SD по бухгалтерскому обслуживанию""","""Заведение SD по бухгалтерскому обслуживанию""",http://www.example.com
"""Проверить клиента в Онлайн-бухгалтерии""","""Проверить клиента в Онлайн-бухгалтерии""",http://www.example.com
"""SME. Документы. Просмотр документов по задаче""","""бухгалтерские документы клиента""",http://www.example.com
"""АУСН в Онлайн-Бухгалтерии""","""автоматизированная упрощенка, АУСН, как платить по АУСН, как менять сумму налога на АУСН""",http://www.example.com
"""ЛП Бухгалтерия. Работа с заданием""","""Общая процедура по работе с тасками ЛП по Бухгалтерии (со стороны сотрудника ЛП)""",http://www.example.com
"""БО. Проверка наличия заданий по типу""","""БО. Проверка наличия заданий по типу""",http://www.example.com
"""Исходящий чат бухгалтера""","""Процедура по отправке чата клиенту Бухгалтерии""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Вопрос на ЛП""","""передать сложный вопрос на линию помощи""",http://www.example.com
"""SME. Бухгалтерское обслуживание.  Общая информация по МЧД и оформление""","""Общая инфо о том, как сделать МЧД для клиента БО машиночитаемая доверенность""",http://www.example.com
"""Мои таски. Персональный бухгалтер""","""Мои таски. Персональный бухгалтер""",http://www.example.com
"""Оплатить фиксированные взносы""","""Оплатить фиксированные взносы""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка таска SME_ACCOUNTING_DATA_UPDATE""","""Процедура для сверки и актуализации  бухгалтерских данных по клиенту в случае их изменения или подключения нового клиента.""",http://www.example.com
"""Бухгалтерия фиксы ios""","""Как оплатить фиксированные взносы в мобильном приложении на ios""",http://www.example.com
"""Оформить КУДИР""","""где скачать книгу учета доходов и расходов (КУДиР)""",http://www.example.com
